,location
1007,new england
1008,louisiana
1009,manchester
1010,new hampshire
1011,manchester
1012,new hampshire
1013,maine
1014,canada
1015,france
1016,new brunswick
1017,new england
1018,maine
1019,europe
1020,canada
1021,chicago
1022,illinois
1023,grand isle
1024,maine
1025,philadelphia
1026,pennsylvania
1027,maine
1028,quebec
1029,rhode island
1030,maine
1031,woonsocket
1032,rhode island
1033,worcester
1034,massachusetts
1035,maine
1036,massachusetts
1037,lewiston
1038,maine
1039,massachusetts
1040,biddeford
1041,maine
1042,woonsocket
1043,rhode island
1044,maine
1045,new england
1046,new england
1047,north america
1048,europe
1049,china
1050,india
1051,israel
1052,canada
1053,new england
1054,queìbec
1055,manchester
1056,new hampshire
1057,new england
1058,du nord
1059,quebec
1060,new england
1061,gardner
1062,massachusetts
1063,maine
1064,maine
1065,manchester
1066,new hampshire
1067,etatsunis
1068,maine
1069,maine
1070,maine
1071,louisiana
1072,maine
1073,quebec
1074,north america
1075,south america
1076,maine
1077,manchester
1078,new hampshire
1079,madawaska
1080,maine
1081,new brunswick
1082,dexter
1083,maine
1084,maine
1085,louisiana
1086,louisiana
1087,maine
1088,new hampshire
1089,rhode island
1090,ãtatsunis
1091,bingham
1092,maine
1093,maine
1094,nashua
1095,new hampshire
1096,taftville
1097,connecticut
1098,maine
1099,bangor
1100,madawaska
1101,maine
1102,bangor
1103,lewiston
1104,maine
1105,michigan
1106,montreal
1107,maine
1108,maine
1109,lewiston
1110,maine
1111,maine
1112,maine
1113,maine
1114,manchester
1115,new hampshire
1116,california
1117,orono
1118,maine
1119,maine
1120,maine
1121,maine
1122,loudon
1123,france
1124,orono
1125,maine
1126,orono
1127,maine
1128,maine
1129,louisiana
1130,canada
1131,louisiana
1132,louisiana
1133,woonsocket
1134,rhode island
1135,du nord
1136,biddeford
1137,maine
1138,portland
1139,maine
1140,biddeford
1141,maine
1142,waterville
1143,maine
1144,portland
1145,sanford
1146,maine
1147,sanford
1148,maine
1149,massachusetts
1150,lowell
1151,massachusetts
1152,new york
1153,orono
1154,maine
1155,maine
1156,durham
1157,north carolina
1158,woonsocket
1159,rhode island
1160,massachusetts
1161,biddeford
1162,maine
1163,california
1164,canada
1165,new england
1166,canada
1167,france
1168,worcester
1169,massachusetts
1170,manchester
1171,new hampshire
1172,du nord
1173,louisiana
1174,new england
1175,du nord
1176,ãtatsunis
1177,lewiston
1178,maine
1179,new england
1180,new england
1181,new england
1182,maine
1183,massachusetts
1184,new england
1185,new england
1186,vermont
1187,maine
1188,europe
1189,worcester
1190,massachusetts
1191,ãtatsunis
1192,maine
1193,cohoes
1194,new york
1195,maine
1196,massachusetts
1197,lowell
1198,massachusetts
1199,lowell
1200,massachusetts
1201,canada
1202,new england
1203,maine
1204,new england
1205,rhode island
1206,canada
1207,woonsocket
1208,rhode island
1209,brunswick
1210,maine
1211,maine
1212,new england
1213,louisiana
1214,maine
1215,ontario
1216,canada
1217,massachusetts
1218,maine
1219,maine
1220,rhode island
1221,nouveaubrunswick
1222,woonsocket
1223,rhode island
1224,woonsocket
1225,rhode island
1226,madawaska
1227,new brunswick
1228,france
1229,ãtatsunis
1230,ãtatsunis
1231,massachusetts
1232,springfield
1233,massachusetts
1234,new england
1235,maine
1236,massachusetts
1237,vermont
1238,maine
1239,baltimore
1240,maryland
1241,fall river
1242,massachusetts
1243,pittsburgh
1244,pennsylvania
1245,fall river
1246,massachusetts
1247,burlington
1248,vermont
1249,manville
1250,rhode island
1251,massachusetts
1252,hartford
1253,connecticut
1254,maine
1255,massachusetts
1256,queìbec
1257,fall river
1258,massachusetts
1259,rhode island
1260,lewiston
1261,maine
1262,fall river
1263,massachusetts
1264,etatsunis
1265,rhode island
1266,ãtatsunis
1267,rhode island
1268,maine
1269,lewiston
1270,maine
1271,massachusetts
1272,vermont
1273,vermont
1274,lewiston
1275,maine
1276,maine
1277,maine
1278,biddeford
1279,maine
1280,biddeford
1281,maine
1282,lewiston
1283,maine
1284,worcester
1285,massachusetts
1286,michigan
1287,manchester
1288,new hampshire
1289,massachusetts
1290,augusta
1291,maine
1292,etatsunis
1293,maine
1294,canada
1295,maine
1296,queìbec
1297,new england
1298,vermont
1299,canada
1300,maine
1301,massachusetts
1302,lewiston
1303,maine
1304,lewiston
1305,maine
1306,coles grove
1307,new hampshire
1308,maine
1309,augusta
1310,maine
1311,augusta
1312,maine
1313,lisbon falls
1314,maine
1315,maine
1316,maine
1317,waterville
1318,maine
1319,waterville
1320,maine
1321,waterville and portland
1322,maine
1323,orono
1324,maine
1325,lewiston
1326,maine
1327,bangor
1328,maine
1329,new england
1330,maine
1331,maine
1332,new england
1333,maine
1334,maine
1335,maine
1336,maine
1337,vermont
1338,madawaska
1339,maine
1340,vermont
1341,maine
1342,massachusetts
1343,maine
1344,fort kent
1345,maine
1346,frenchville
1347,maine
1348,maine
1349,new england
1350,lewiston
1351,maine
1352,vermont
1353,maine
1354,new england
1355,maine
1356,quebec
1357,rhode island
1358,st john river valley
1359,maine
1360,maine
1361,new hampshire
1362,vermont
1363,etatsunis
1364,maine
1365,new england
1366,maine
1367,new england
1368,maine
1369,louisiane
1370,vermont
1371,us midwest
1372,ãtatsunis
1373,new york
1374,new york
1375,nouvelle
1376,portland
1377,maine
1378,berlin
1379,new hampshire
1380,new hampshire
1381,waterville
1382,maine
1383,lowell
1384,massachusetts
1385,nouvelleangleterre
1386,maine
1387,lewiston
1388,maine
1389,lewiston
1390,maine
1391,worcester
1392,massachusetts
1393,indian island
1394,maine
1395,maine
1396,new england
1397,fall river
1398,massachusetts
1399,new england
1400,new england
1401,maine
1402,maine
1403,maine
1404,maine
1405,new brunswick
1406,quebec
1407,brunswick
1408,maine
1409,lewiston
1410,maine
1411,worcester
1412,massachusetts
1413,france
1414,maine
1415,maine
1416,new england
1417,canada
1418,new england
1419,augusta
1420,maine
1421,lowell
1422,massachusetts
1423,waterville
1424,maine
1425,new england
1426,maine
1427,lewiston
1428,maine
1429,worcester
1430,massachusetts
1431,maine
1432,maine
1433,madawaska
1434,maine
1435,madawaska
1436,maine
1437,lowell
1438,massachusetts
1439,ãtatsunis
1440,ãtatsunis
1441,providence
1442,rhode island
1443,augusta
1444,maine
1445,kennebec river valley
1446,maine
1447,worcester
1448,massachusetts
1449,new england
1450,new york
1451,new york
1452,new england
1453,connecticut
1454,maine
1455,connecticut
1456,woonsocket
1457,rhode island
1458,nouvelleangleterre
1459,new york
1460,cohoes
1461,new york
1462,du nord
1463,etatsunis
1464,vermont
1465,new england
1466,st john river valley
1467,maine
1468,augusta
1469,maine
1470,new england
1471,maine
1472,augusta
1473,maine
1474,lewiston
1475,maine
1476,canada
1477,maine
1478,quebec
1479,bayonne
1480,new jersey
1481,massachusetts
1482,woonsocket
1483,rhode island
1484,new york
1485,maine
1486,saintjean
1487,maine
1488,rhode island
1489,new hampshire
1490,connecticut
1491,france
1492,manchester
1493,new hampshire
1494,fort kent and van buren
1495,maine
1496,worcester
1497,massachusetts
1498,massachusetts
1499,new york
1500,new york
1501,maine
1502,woonsocket
1503,rhode island
1504,maine
1505,lewiston
1506,maine
1507,new england
1508,maine
1509,new york
1510,new york
1511,new york
1512,new york
1513,orono
1514,maine
1515,massachusetts
1516,maine
1517,vermont
1518,maine
1519,lewiston
1520,maine
1521,hartford
1522,connecticut
1523,france
1524,maine
1525,maine
1526,maine
1527,queìbec
1528,st john river valley
1529,maine
1530,lewiston
1531,maine
1532,maine
1533,maine
1534,vermont
1535,new england
1536,nouvelleangleterre
1537,new england
1538,queìbec
1539,new england
1540,vermont
1541,new england
1542,manchester
1543,new hampshire
1544,manchester
1545,new hampshire
1546,rockwood
1547,maine
1548,new england
1549,lewiston
1550,maine
1551,maine
1552,maine
1553,rhode island
1554,lowell
1555,massachusetts
1556,maine
1557,new england
1558,maine
1559,bath
1560,maine
1561,maine
1562,new york
1563,nashua
1564,new hampshire
1565,ãtatsunis
1566,michigan
1567,lewiston
1568,maine
1569,lewiston
1570,maine
1571,augusta
1572,maine
1573,maine
1574,canada
1575,france
1576,acadie
1577,new york
1578,acadie
1579,lewiston
1580,maine
1581,lowell
1582,massachusetts
1583,maine
1584,maine
1585,new york
1586,europe
1587,france
1588,italie
1589,massachusetts
1590,woonsocket
1591,providence
1592,rhode island
1593,maine
1594,new england
1595,new england
1596,maine
1597,maine
1598,hartford
1599,connecticut
1600,fall river
1601,massachusetts
1602,cambridge
1603,massachusetts
1604,rutland
1605,vermont
1606,southbridge
1607,massachusetts
1608,leadville
1609,colorado
1610,new england
1611,maine
1612,new england
1613,new england
1614,california
1615,maine
1616,france
1617,vermont
1618,maine
1619,maine
1620,waterville
1621,maine
1622,vermont
1623,woonsocket
1624,rhode island
1625,new hampshire
1626,vermont
1627,maine
1628,new brunswick
1629,maine
1630,vermont
1631,vermont
1632,madawaska
1633,maine
1634,vermont
1635,brunswick
1636,maine
1637,new england
1638,new england
1639,worcester
1640,massachusetts
1641,massachusetts
1642,maine
1643,ãtatsunis
1644,lewiston
1645,maine
1646,lewiston
1647,maine
1648,lewiston
1649,maine
1650,lewiston
1651,maine
1652,maine
1653,vermont
1654,vermont
1655,new england
1656,ottawa
1657,ontario
1658,massachusetts
1659,new england
1660,maine
1661,rhode island
1662,new england
1663,maine
1664,brunswick
1665,maine
1666,connecticut
1667,new york
1668,new york
1669,vermont
1670,madawaska
1671,maine
1672,new england
1673,fall river
1674,massachusetts
1675,new england
1676,canada
1677,canada
1678,canada
1679,ãtatsunis
1680,new york
1681,new york
1682,lowell
1683,massachusetts
1684,new york
1685,massachusetts
1686,new york
1687,new york
1688,epping
1689,new hampshire
1690,maine
1691,rhode island
1692,manchester
1693,new hampshire
1694,new brunswick
1695,maine
1696,rome
1697,vatican
1698,du nord
1699,massachusetts
1700,worcester
1701,massachusetts
1702,massachusetts
1703,new england
1704,rollinsford
1705,new hampshire
1706,new england
1707,new england
1708,new england
1709,louisiana
1710,new england
1711,massachusetts
1712,ãtatsunis
1713,manchester
1714,new hampshire
1715,manchester
1716,new hampshire
1717,manchester
1718,new hampshire
1719,lowell
1720,massachusetts
1721,maine
1722,maine
1723,massachusetts
1724,new england
1725,vermont
1726,woonsocket
1727,rhode island
1728,cushing
1729,maine
1730,biddeford
1731,maine
1732,massachusetts
1733,new england
1734,mexico
1735,maine
1736,massachusetts
1737,rapid city
1738,south dakota
1739,waterville
1740,maine
1741,biddeford
1742,maine
1743,maine
1744,massachusetts
1745,new hampshire
1746,ca
1747,manchester
1748,new hampshire
1749,andover
1750,massachusetts
1751,augusta
1752,maine
1753,massachusetts
1754,massachusetts
1755,lowell
1756,massachusetts
1757,europe
1758,ãtatsunis
1759,canada
1760,europe
1761,boston
1762,massachusetts
1763,new mexico
1764,canada
1765,new england
1766,ãtatsunis
1767,new york
1768,new york
1769,lowell
1770,massachusetts
1771,lowell
1772,massachusetts
1773,massachusetts
1774,rhode island
1775,rhode island
1776,maine
1777,rhode island
1778,madawaska
1779,maine
1780,new brunswick
1781,frenchville
1782,maine
1783,new england
1784,manitoba
1785,canada
1786,worcester
1787,massachusetts
1788,maine
1789,new england
1790,new york
1791,new york
1792,woonsocket
1793,rhode island
1794,lowell
1795,massachusetts
1796,new england
1797,new york
1798,new york
1799,new england
1800,canada
1801,london
1802,england
1803,london
1804,england
1805,moscow
1806,russia
1807,providence
1808,rhode island
1809,ca
1810,lisbon
1811,maine
1812,wyoming
1813,maine
1814,massachusetts
1815,new england
1816,boston
1817,massachusetts
1818,maine
1819,new york
1820,maine
1821,vermont
1822,providence
1823,rhode island
1824,lewiston
1825,maine
1826,auburn
1827,maine
1828,lowell
1829,massachusetts
1830,maine
1831,new england
1832,keene
1833,new hampshire
1834,new england
1835,lewiston
1836,maine
1837,maine
1838,maine
1839,new york
1840,new york
1841,burlington
1842,vermont
1843,colchester
1844,vermont
1845,plattsburgh
1846,new york
1847,massachusetts
1848,lowell
1849,massachusetts
1850,new york
1851,new york
1852,wyoming
1853,maine
1854,nashoba valley
1855,massachusetts
1856,maine
1857,ãtatsunis
1858,new york
1859,new england
1860,burlington and colchester
1861,vermont
1862,new hampshire
1863,ãtatsunis
1864,canada
1865,canada
1866,massachusetts
1867,connecticut
1868,vermont
1869,new york
1870,canada
1871,massachusetts
1872,new york
1873,new york
1874,new hampshire
1875,new england
1876,ottawa
1877,ontario
1878,new england
1879,lewiston
1880,maine
1881,biddeford
1882,maine
1883,rhode island
1884,hollywood
1885,new england
1886,maine
1887,california
1888,canada
1889,maine
1890,ãtatsunis
1891,canada
1892,north america
1893,new england
1894,louisiana
1895,massachusetts
1896,new england
1897,manchester
1898,new hampshire
1899,new hampshire
1900,boston
1901,massachusetts
